Locus,Isolate,Subspecies_Friis,Latitude,Longitude,Index,Row Names
AF468624,,oreganus,36.3136,-121.3542,1,"gi|33318426|gb|AF468624.1| Junco hyemalis ATPase subunit 8 and ATPase subunit 6 genes, complete cds; and cytochrome oxidase subunit III gene, partial cds; mitochondrial genes for mitochondrial products"
KX460898,02N7285,oreganus,64.200841,-149.493673,2,"gi|1109546388|gb|KX460898.1| Junco hyemalis isolate 02N7285 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460899,02N7286,oreganus,64.200841,-149.493673,3,"gi|1109546391|gb|KX460899.1| Junco hyemalis isolate 02N7286 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460900,02N7287,oreganus,64.200841,-149.493673,4,"gi|1109546394|gb|KX460900.1| Junco hyemalis isolate 02N7287 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460901,02N7288,oreganus,64.200841,-149.493673,5,"gi|1109546397|gb|KX460901.1| Junco hyemalis isolate 02N7288 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460902,02N7289,oreganus,64.200841,-149.493673,6,"gi|1109546400|gb|KX460902.1| Junco hyemalis isolate 02N7289 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460903,02N7290,oreganus,64.200841,-149.493673,7,"gi|1109546403|gb|KX460903.1| Junco hyemalis isolate 02N7290 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460904,02N7291,oreganus,64.200841,-149.493673,8,"gi|1109546406|gb|KX460904.1| Junco hyemalis isolate 02N7291 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460905,02N7294,oreganus,64.200841,-149.493673,9,"gi|1109546409|gb|KX460905.1| Junco hyemalis isolate 02N7294 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460906,02N7295,oreganus,64.200841,-149.493673,10,"gi|1109546412|gb|KX460906.1| Junco hyemalis isolate 02N7295 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460913,03N4309,oreganus,38.770146,-121.640625,11,"gi|1109546433|gb|KX460913.1| Junco hyemalis isolate 03N4309 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
