Locus,Isolate,Subspecies_Friis,Latitude,Longitude,Index,Row Names
DQ432957,,hyemalis,36.2744,-79.7806,1,"gi|116832287|gb|DQ432957.1| Junco hyemalis voucher USNM 601450 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
DQ433702,,hyemalis,43.33,-80.15,2,"gi|116877065|gb|DQ433702.1| Junco hyemalis voucher BIOUG<CAN_:AXBS010 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
DQ433703,,caniceps,38.84,-106.412,3,"gi|116877067|gb|DQ433703.1| Junco hyemalis voucher UWBM 53404 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
DQ433704,,oreganus,43.54,-121.13,4,"gi|116877069|gb|DQ433704.1| Junco hyemalis voucher UWBM 64477 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
DQ433705,,caniceps,38.8412,-106.478,5,"gi|116877071|gb|DQ433705.1| Junco hyemalis voucher UWBM 53396 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
DQ433706,,caniceps,39.3338,-105.725,6,"gi|116877073|gb|DQ433706.1| Junco hyemalis voucher UWBM 56399 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
DQ433707,,oreganus,43.54,-121.13,7,"gi|116877075|gb|DQ433707.1| Junco hyemalis voucher UWBM 64523 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
DQ433708,,oreganus,42.6667,-120.817,8,"gi|116877077|gb|DQ433708.1| Junco hyemalis voucher UWBM 74534 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
DQ434613,,hyemalis,35.58,-83.07,9,"gi|117372249|gb|DQ434613.1| Junco hyemalis voucher BIOUG<CAN_:NCHA 217175529 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
DQ434614,,hyemalis,35.61,-83.45,10,"gi|117372251|gb|DQ434614.1| Junco hyemalis voucher BIOUG<CAN_:NCHA 217175540 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
