,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,isolates,spp,Latitude,Longitude
02N7285,-0.454801324,-0.061546412,0.002720676,0.001195595,0.057692049,0.02069888,0.009598041,0.002610784,-0.012267334,1.13E-17,02N7285,oreganus,64.200841,-149.493681
02N7286,-0.454801324,-0.061546412,0.002720676,0.001195595,0.057692049,0.02069888,0.009598041,0.002610784,-0.012267334,2.53E-16,02N7286,oreganus,64.200841,-149.49368
02N7287,-0.454801324,-0.061546412,0.002720676,0.001195595,0.057692049,0.02069888,0.009598041,0.002610784,-0.012267334,-6.76E-16,02N7287,oreganus,64.200841,-149.493679
02N7288,-0.454801324,-0.061546412,0.002720676,0.001195595,0.057692049,0.02069888,0.009598041,0.002610784,-0.012267334,-3.61E-16,02N7288,oreganus,64.200841,-149.493678
02N7289,-0.454801324,-0.061546412,0.002720676,0.001195595,0.057692049,0.02069888,0.009598041,0.002610784,-0.012267334,1.43E-17,02N7289,oreganus,64.200841,-149.493677
02N7290,-0.454801324,-0.061546412,0.002720676,0.001195595,0.057692049,0.02069888,0.009598041,0.002610784,-0.012267334,1.62E-16,02N7290,oreganus,64.200841,-149.493676
02N7291,-0.454801324,-0.061546412,0.002720676,0.001195595,0.057692049,0.02069888,0.009598041,0.002610784,-0.012267334,4.32E-16,02N7291,oreganus,64.200841,-149.493675
02N7294,0.634082552,0.018928549,-0.549142829,0.875708016,-0.014982112,-0.015279267,0.442497673,0.099743177,-0.001999162,-0.208394539,02N7294,oreganus,64.200841,-149.493674
02N7295,0.634082552,0.018928549,-0.549142829,0.875708016,-0.014982112,-0.015279267,0.442497673,0.099743177,-0.001999162,0.208394539,02N7295,oreganus,64.200841,-149.493673
03N4309,-0.454801324,-0.061546412,0.002720676,0.001195595,0.057692049,0.02069888,0.009598041,0.002610784,-0.012267334,3.26E-16,03N4309,oreganus,38.770146,-121.640625
04N5027,-0.454801324,-0.061546412,0.002720676,0.001195595,0.057692049,0.02069888,0.009598041,0.002610784,-0.012267334,-1.24E-16,04N5027,oreganus,53.45359,-130.149871
04N5029,0.510736795,0.006535936,-0.070496613,-0.034021813,0.001929581,0.003463826,-0.136719681,-0.091109477,0.003094588,1.17E-16,04N5029,oreganus,53.45359,-130.14987
04N5030,-0.454801324,-0.061546412,0.002720676,0.001195595,0.057692049,0.02069888,0.009598041,0.002610784,-0.012267334,-1.91E-16,04N5030,oreganus,53.45359,-130.149869
04N5031,0.537186613,0.007883979,-0.091706311,-0.047200136,0.002778519,0.005206236,-0.213479366,-0.204974044,0.015094561,0.29700076,04N5031,oreganus,53.45359,-130.149868
04N5035,-0.454801324,-0.061546412,0.002720676,0.001195595,0.057692049,0.02069888,0.009598041,0.002610784,-0.012267334,-3.71E-17,04N5035,oreganus,53.45359,-130.149867
04N5043,-0.454801324,-0.061546412,0.002720676,0.001195595,0.057692049,0.02069888,0.009598041,0.002610784,-0.012267334,2.64E-16,04N5043,oreganus,53.993429,-130.487529
04N5044,0.537186613,0.007883979,-0.091706311,-0.047200136,0.002778519,0.005206236,-0.213479366,-0.204974044,0.015094561,-0.427237854,04N5044,oreganus,53.993429,-130.487528
04N5045,-0.454801324,-0.061546412,0.002720676,0.001195595,0.057692049,0.02069888,0.009598041,0.002610784,-0.012267334,3.05E-18,04N5045,oreganus,53.993429,-130.487527
04N5050,0.537186613,0.007883979,-0.091706311,-0.047200136,0.002778519,0.005206236,-0.213479366,-0.204974044,0.015094561,0.430817349,04N5050,oreganus,53.993429,-130.487526
04N5051,-0.454801324,-0.061546412,0.002720676,0.001195595,0.057692049,0.02069888,0.009598041,0.002610784,-0.012267334,-1.38E-16,04N5051,oreganus,53.993429,-130.487525
04N5052,-0.454801324,-0.061546412,0.002720676,0.001195595,0.057692049,0.02069888,0.009598041,0.002610784,-0.012267334,-5.02E-16,04N5052,oreganus,53.993429,-130.487524
04N5054,-0.47835438,-0.074240426,0.003539221,0.001658708,0.08307423,0.031111049,0.01498675,0.005873626,-0.059836718,0.214300124,04N5054,oreganus,53.993429,-130.487523
04N5055,-0.47835438,-0.074240426,0.003539221,0.001658708,0.08307423,0.031111049,0.01498675,0.005873626,-0.059836718,-0.088533138,04N5055,oreganus,53.993429,-130.487522
