Isolate,Subspecies_Friis,Latitude,Longitude
02N7285,oreganus,64.200841,-149.493681
02N7286,oreganus,64.200841,-149.49368
02N7287,oreganus,64.200841,-149.493679
02N7288,oreganus,64.200841,-149.493678
02N7289,oreganus,64.200841,-149.493677
02N7290,oreganus,64.200841,-149.493676
02N7291,oreganus,64.200841,-149.493675
02N7294,oreganus,64.200841,-149.493674
02N7295,oreganus,64.200841,-149.493673
03N4309,oreganus,38.770146,-121.640625
04N5027,oreganus,53.45359,-130.149871
04N5029,oreganus,53.45359,-130.14987
04N5030,oreganus,53.45359,-130.149869
04N5031,oreganus,53.45359,-130.149868
04N5035,oreganus,53.45359,-130.149867
04N5043,oreganus,53.993429,-130.487529
04N5044,oreganus,53.993429,-130.487528
04N5045,oreganus,53.993429,-130.487527
04N5050,oreganus,53.993429,-130.487526
04N5051,oreganus,53.993429,-130.487525
04N5052,oreganus,53.993429,-130.487524
04N5054,oreganus,53.993429,-130.487523
04N5055,oreganus,53.993429,-130.487522
04N5056,oreganus,53.993429,-130.487521
05N0500,mearnsi,43.981768,-109.514936
05N0501,mearnsi,43.981768,-109.514935
05N0502,mearnsi,43.981768,-109.514934
05N0503,mearnsi,43.981768,-109.514933
05N0504,mearnsi,43.981768,-109.514932
05N0506,mearnsi,43.981768,-109.514931
05N0507,mearnsi,43.981768,-109.51493
05N0509,mearnsi,43.981768,-109.514929
05N0522,aikeni,44.48614,-104.45108
05N0523,aikeni,44.48614,-104.45108
05N0524,aikeni,44.59476,-104.41141
05N0525,aikeni,44.59476,-104.41141
05N0526,aikeni,44.59476,-104.41141
05N0527,aikeni,44.50185,-104.45238
05N0528,aikeni,44.50185,-104.45238
05N0529,aikeni,44.50185,-104.45238
05N0538,caniceps,40.8046,-110.87705
05N0539,caniceps,40.8046,-110.87705
05N0541,caniceps,40.8046,-110.87705
05N0542,caniceps,40.8046,-110.87705
05N0543,caniceps,40.8046,-110.87705
05N0544,caniceps,40.8046,-110.87705
05N0545,caniceps,40.8046,-110.87705
05N0546,caniceps,40.8046,-110.87705
05N0547,caniceps,40.8046,-110.87705
05N0571,dorsalis,34.01638,-109.6199
05N0572,dorsalis,34.01638,-109.6199
05N0573,dorsalis,34.01638,-109.6199
05N0574,dorsalis,34.01638,-109.6199
05N0575,dorsalis,34.01638,-109.6199
05N0582,dorsalis,33.92689,-109.45343
05N0583,dorsalis,33.92689,-109.45343
05N0584,dorsalis,33.92689,-109.45343
05N0585,dorsalis,33.92689,-109.45343
06N25589,dorsalis,33.92689,-109.45343
06N26275,oreganus,43.89835,-114.90118
06N26278,oreganus,43.89835,-114.90118
06N26281,oreganus,43.89835,-114.90118
06N26283,oreganus,43.89835,-114.90118
06N26284,oreganus,43.89835,-114.90118
06N26285,oreganus,43.89835,-114.90118
06N26286,oreganus,43.89835,-114.90118
06N26287,oreganus,43.89835,-114.90118
06N26290,oreganus,43.89835,-114.90118
06N26291,oreganus,43.89835,-114.90118
06N26292,oreganus,43.89835,-114.90118
06N26293,oreganus,43.89835,-114.90118
SCJU_3824,hyemalis,37.375136,-80.522752
SCJU_3826,hyemalis,37.375136,-80.522751
SCJU_3827,hyemalis,37.375136,-80.52275
SCJU_3828,hyemalis,37.375136,-80.522749
SCJU_3829,hyemalis,37.375136,-80.522748
SCJU_3830,hyemalis,37.375136,-80.522747
