Subspecies pair,Num hybrid sightings,Area of overlap (sq.km),Realized potential overlap area,Num hybrids / area of overlap,Hybrid sightings in area of overlap,Subspecies1 sightings in area of overlap,Subspecies2 sightings in area of overlap,Num parent sightings in area of overlap,Num hybrids/num parents sightings in area of overlap,Hybrid sightings in hybrid region,Subspecies1 sightings in hybrid region,Subspecies2 sightings in hybrid region,Total parent sightings in hybrid region,Subspecies1 total sightings (breeding szn),Subspecies2 total sightings (breeding szn),Hybrid fraction of ssp1 in hybrid region,Hybrid fraction of ssp2 in hybrid region,Averaged hybrid fractions,Num hybrids/num parents in hybrid region,Num sig song features,Avg classifier accuracy,PCA overlap area,Subspecies1 PCA area,Subspecies2 PCA area,Proportion PCA overlap
hyemalis/oreganus,95,"2,421,435",0.5573977,0.00003923,78,2079,13645,15724,0.00496057,95,3144,23205,26349,"59,305","70,079",0.030216285,0.004093945,0.017155115,0.00360545,0,0.6735,87.78898,114.5447,102.5729,0.6788058
mearnsi/caniceps,61,"322,959.40",0.4318003,0.00018888,47,"1,656.00","1,653.00","3,309.00",0.014203687,59,641,"9,724","10,365",3367,"12,467",0.092043682,0.006067462,0.049055572,0.005692233,2,0.6955,18.60364,19.60619,36.31011,0.4985877
mearnsi/aikeni,5,"99,304.74",0.2585422,0.00005035,5,191,26,217,0.023041475,5,0,0,0,3367,709,0,0,0,0,0,0.646,11.93393,19.60619,15.86848,0.5069479
caniceps/dorsalis,5,"82,478.29",0.2877666,0.00006062,5,291,435,726,0.006887052,3,2,520,522,"12,467",2435,1.5,0.005769231,0.752884615,0.005747126,6,0.847,24.12983,36.31011,26.65459,0.6213442
oreganus/caniceps,7,"550,298.40",0.4201714,0.00001272,7,270,"2,112.00","2,382.00",0.002938707,7,55,0,55,"70,079","12,467",0.127272727,0,0.063636364,0.127272727,2,0.707,34.11263,102.5729,36.31011,0.3255943
oreganus/mearnsi,6,"610,538",0.8109185,0.00000983,6,"2,752","3,254","6,006",0.000999,6,776,2326,3102,"70,079",3367,0.007731959,0.002579536,0.005155747,0.001934236,4,0.604,17.88591,102.5729,19.60619,0.1714965
hyemalis/aikeni,0,379030.8,0.9850665,0,0,0,698,698,0,0,0,0,0,"59,305",709,0,0,0,0,3,0.6715,14.80336,114.5447,15.86848,0.1280459
hyemalis/caniceps,0,161511.8,0.1226515,0,0,0,42,42,0,0,0,0,0,"59,305","12,467",0,0,0,0,2,0.716,36.1061,114.5447,36.31011,0.3146536
hyemalis/dorsalis,0,0,0,0,0,0,0,0,0,0,0,0,0,"59,305","2,435",0,0,0,0,6,0.777,26.65459,114.5447,26.65459,0.2327004
hyemalis/mearnsi,0,420931.3,0.5601597,0,0,0,1950,1950,0,0,0,0,0,"59,305","3,367",0,0,0,0,5,0.6245,19.60619,114.5447,19.60619,0.1711663
oreganus/aikeni,0,31277.35,0.08143131,0,0,3,3,6,0,0,0,0,0,"70,079",709,0,0,0,0,2,0.859,13.681,102.5729,15.86848,0.1305933
oreganus/dorsalis,0,15429.14,0.05320357,0,0,0,19,19,0,0,0,0,0,"70,079",2435,0,0,0,0,6,0.9235,26.61523,102.5729,26.65459,0.2593768
aikeni/caniceps,0,98486.54,0.256412,0,0,20,89,109,0,0,0,0,0,709,12467,0,0,0,0,1,0.9165,14.77656,15.86848,36.31011,0.3950738
aikeni/dorsalis,0,0,0,0,0,0,0,0,0,0,0,0,0,709,2435,0,0,0,0,1,0.85,12.1267,15.86848,26.65459,0.3989522
dorsalis/mearnsi,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,435",3367,0,0,0,0,5,0.8625,16.81682,26.65459,19.60619,0.5711466
