Locus,Isolate,Subspecies_Friis,Latitude,Longitude,Index,Row Names,
KX461486,02N7285,oreganus,64.200841,-149.493681,1,"gi|1109547491|gb|KX461486.1| Junco hyemalis isolate 02N7285 beta-fibrinogen (FGB) gene, intron 5 and partial cds",
KX461487,02N7286,oreganus,64.200841,-149.49368,2,"gi|1109547493|gb|KX461487.1| Junco hyemalis isolate 02N7286 beta-fibrinogen (FGB) gene, intron 5 and partial cds",
KX461488,02N7288,oreganus,64.200841,-149.493678,3,"gi|1109547495|gb|KX461488.1| Junco hyemalis isolate 02N7288 beta-fibrinogen (FGB) gene, intron 5 and partial cds",
KX461489,02N7291,oreganus,64.200841,-149.493673,4,"gi|1109547497|gb|KX461489.1| Junco hyemalis isolate 02N7291 beta-fibrinogen (FGB) gene, intron 5 and partial cds",
KX461490,05N0500,mearnsi,43.981768,-109.514936,5,"gi|1109547499|gb|KX461490.1| Junco hyemalis isolate 05N0500 beta-fibrinogen (FGB) gene, intron 5 and partial cds",
KX461491,05N0501,mearnsi,43.981768,-109.514935,6,"gi|1109547501|gb|KX461491.1| Junco hyemalis isolate 05N0501 beta-fibrinogen (FGB) gene, intron 5 and partial cds",
KX461492,05N0506,mearnsi,43.981768,-109.514931,7,"gi|1109547503|gb|KX461492.1| Junco hyemalis isolate 05N0506 beta-fibrinogen (FGB) gene, intron 5 and partial cds",
KX461493,05N0522,aikeni,44.48614,-104.45108,8,"gi|1109547505|gb|KX461493.1| Junco hyemalis isolate 05N0522 beta-fibrinogen (FGB) gene, intron 5 and partial cds",
KX461494,05N0525,aikeni,44.59476,-104.41141,9,"gi|1109547507|gb|KX461494.1| Junco hyemalis isolate 05N0525 beta-fibrinogen (FGB) gene, intron 5 and partial cds",
KX461495,05N0526,aikeni,44.59476,-104.41141,10,"gi|1109547509|gb|KX461495.1| Junco hyemalis isolate 05N0526 beta-fibrinogen (FGB) gene, intron 5 and partial cds",
KX461496,05N0527,aikeni,44.50185,-104.45238,11,"gi|1109547511|gb|KX461496.1| Junco hyemalis isolate 05N0527 beta-fibrinogen (FGB) gene, intron 5 and partial cds",
KX461497,05N0528,aikeni,44.50185,-104.45238,12,"gi|1109547513|gb|KX461497.1| Junco hyemalis isolate 05N0528 beta-fibrinogen (FGB) gene, intron 5 and partial cds",
