ID_Num,avg_silence_duration.ms.,avg_syllable_duration.ms.,avg_sylls_freq_range.Hz.,avg_sylls_lower_freq.Hz.,avg_sylls_upper_freq.Hz.,bout_duration.ms.,mean_syllable_stereotypy,num_syllable_per_bout_duration.1.ms.,num_syllables,num_unique_syllables,subspecies
1270,3.199284815,3.95630767,7.950047974,8.075469185,8.704312393,7.268422244,4.161234237,-4.323983261,2.944438979,0,hyemalis
13878,3.307450277,3.709822628,7.722398541,8.155755461,8.648003414,7.383101753,4.314910901,-4.205047926,3.17805383,0,caniceps
13879,3.295248803,4.298472478,7.598091495,8.172377473,8.611258578,7.300869293,4.321179759,-4.592819076,2.708050201,0,caniceps
14453,2.647337392,4.315634545,7.979380201,8.111069972,8.733638924,7.251007203,4.087612799,-4.478418511,2.772588722,0,oreganus
14453,2.967833468,4.241098338,7.950446778,8.133399448,8.732339941,7.246718741,4.214419538,-4.474129994,2.772588722,0.693147181,oreganus
14482,3.320922585,4.415008451,7.966230645,8.163233855,8.755975225,7.686934521,4.268466087,-4.691202261,2.995732274,1.098612289,oreganus
14482,3.253813876,4.427463813,8.018766022,8.157589988,8.777125351,7.730119001,4.30187728,-4.685596601,3.044522438,0.693147181,oreganus
14482,3.092029283,4.46918681,8.039539321,8.15524119,8.785658912,7.679772318,4.30707971,-4.684040032,2.995732274,0.693147181,oreganus
15218,3.321693428,4.320879738,8.146758268,8.229117074,8.875945385,7.564534816,4.336458018,-4.620095821,2.944438979,0.693147181,hyemalis
15219,3.297859771,4.313033763,8.390654834,7.902338199,8.863094518,6.897865264,4.115664064,-4.595280154,2.302585093,1.098612289,hyemalis
15220,3.024050112,4.131407697,7.897412081,8.258579461,8.780777421,7.496599585,4.399583851,-4.405557159,3.091042453,0,hyemalis
15221,3.141475127,3.575386146,7.718425553,8.045654922,8.580476051,7.356097412,4.478364605,-4.060260519,3.295836866,0,hyemalis
15222,3.125785402,4.290676856,8.007698715,8.157980918,8.772167796,6.732645748,4.338797184,-4.5354212,2.197224577,0.693147181,hyemalis
15223,2.752162318,4.16176493,7.725924866,7.911115866,8.507303943,7.46236992,4.333662198,-4.371327436,3.091042453,0,hyemalis
15224,3.029033998,4.413519534,8.398550411,7.791708571,8.827334962,7.397016725,4.104939102,-4.624428034,2.772588722,0.693147181,hyemalis
15225,3.688157693,3.762691612,7.467981102,8.224699153,8.601549763,7.533608824,4.415678237,-4.398114635,3.135494216,0,hyemalis
