subspecies,ID_Num,latitude,longitude
hyemalis,1270,36.1065,-82.1106
caniceps,13878,40.66664,-106.33392
caniceps,13879,40.66664,-106.33392
oreganus,14453,49.0409,-114.0323
oreganus,14453,49.0409,-114.0323
oreganus,14482,37.8328,-119.4909
oreganus,14482,37.8328,-119.4909
oreganus,14482,37.8328,-119.4909
hyemalis,15218,44.543816,-72.814258
hyemalis,15219,42.480179,-76.451104
hyemalis,15220,43.973126,-73.832108
hyemalis,15221,44.274408,-73.976512
hyemalis,15222,44.543816,-72.814258
hyemalis,15223,44.779883,-68.368404
hyemalis,15224,46.380172,-83.359241
hyemalis,15225,48.315077,-79.879293
hyemalis,15227,51.278821,-80.649262
hyemalis,15228,47.981821,-77.420178
hyemalis,15229,35.612096,-83.489556
hyemalis,15231,35.612096,-83.489556
hyemalis,15232,64.8666667,-147.8666667
hyemalis,15233,60.5833333,-137.2333333
hyemalis,15234,60.5833333,-137.2333333
hyemalis,15235,61.8333333,-145.1666667
aikeni,15237,44.328151,-103.98815
aikeni,15238,44.328151,-103.98815
aikeni,15239,44.328151,-103.98815
dorsalis,15240,33.13228,-106.029927
oreganus,15244,46.86583,-117.167208
oreganus,15245,37.931832,-119.185775
oreganus,15248,36.028212,-121.506456
oreganus,15249,37.864775,-119.537913
oreganus,15250,36.51455,-121.943334
hyemalis,20829,35.5778,-83.4798
hyemalis,20829,35.5778,-83.4798
hyemalis,20829,35.5778,-83.4798
hyemalis,20830,35.5778,-83.4798
oreganus,22066,37.8328,-119.4909
oreganus,22066,37.8328,-119.4909
oreganus,22066,37.8328,-119.4909
oreganus,23007,39.409381,-123.352378
hyemalis,26764,36.107098,-82.110165
hyemalis,27112,42.302488,-76.725205
hyemalis,30894,42.926012,-83.19191
hyemalis,31262,44.5598,-84.0578
oreganus,35301,47.7839,-122.2739
hyemalis,36934,42.362092,-76.679595
hyemalis,38508,42.2666667,-76.65
hyemalis,38510,42.2666667,-76.65
oreganus,42250,43.296121,-124.334697
oreganus,44381,39.66765,-120.4262167
oreganus,44556,39.66765,-120.4262167
oreganus,44603,39.324005,-120.598891
oreganus,44616,39.321516,-120.599116
oreganus,44616,39.321516,-120.599116
oreganus,44616,39.321516,-120.599116
oreganus,44910,42.865804,-123.910508
oreganus,45292,48.1,-124.35
hyemalis,45832,43.92756,-69.252793
oreganus,47708,46.1666667,-118.1166667
oreganus,48888,39.57323,-120.518542
oreganus,49002,39.601261,-120.495207
oreganus,49076,40.724319,-122.236008
hyemalis,49608,42.25,-76.6666667
hyemalis,49609,42.25,-76.6666667
hyemalis,49613,42.25,-76.6666667
oreganus,50336,42.865804,-123.910508
hyemalis,51209,64.4333333,-148.2
hyemalis,52403,35.6301,-83.4489
hyemalis,52403,35.6301,-83.4489
caniceps,52404,38.8698,-106.9859
caniceps,52405,39.1878,-108.3078
oreganus,58546,36.555,-118.751
oreganus,58547,36.555,-118.751
oreganus,58547,36.555,-118.751
oreganus,58547,36.555,-118.751
oreganus,59030,40.321,-121.427
oreganus,59030,40.321,-121.427
oreganus,59030,40.321,-121.427
oreganus,59841,49.185727,-120.93525
hyemalis,59843,48.733023,-80.998502
hyemalis,59844,50.653524,-99.989308
hyemalis,59845,47.231601,-71.222596
hyemalis,59847,48.885036,-64.250415
hyemalis,59848,48.528857,-64.228491
hyemalis,59849,51.30158,-80.692519
hyemalis,59850,51.30158,-80.692519
hyemalis,59851,50.248565,-99.836515
hyemalis,59851,50.248565,-99.836515
hyemalis,59852,44.366064,-73.902646
hyemalis,59853,44.366064,-73.902646
hyemalis,59854,44.366064,-73.902646
hyemalis,59856,64.524403,-147.682624
hyemalis,67153,63.673,-151.112
hyemalis,67164,40.8208,-74.2017
oreganus,71985,31.014,-115.463
oreganus,71985,31.014,-115.463
oreganus,71988,31.014,-115.463
oreganus,71988,31.014,-115.463
oreganus,71988,31.014,-115.463
oreganus,71990,30.98,-115.504
oreganus,71990,30.98,-115.504
oreganus,71990,30.98,-115.504
oreganus,71991,30.98,-115.504
oreganus,71997,30.98,-115.504
oreganus,71997,30.98,-115.504
oreganus,71997,30.98,-115.504
oreganus,71998,31.014,-115.463
oreganus,71998,31.014,-115.463
oreganus,71998,31.014,-115.463
oreganus,72007,30.98,-115.504
oreganus,72007,30.98,-115.504
oreganus,72010,30.98,-115.504
oreganus,72010,30.98,-115.504
oreganus,72010,30.98,-115.504
oreganus,72011,30.98,-115.504
oreganus,72011,30.98,-115.504
oreganus,72011,30.98,-115.504
oreganus,72013,30.98,-115.504
oreganus,72013,30.98,-115.504
hyemalis,72921,40.1226,-75.0634
hyemalis,74728,42.3525,-76.6847
oreganus,76515,47.7839,-122.2739
dorsalis,76620,35.253,-112.182
dorsalis,76621,35.253,-112.182
dorsalis,76622,35.253,-112.182
hyemalis,79073,35.3378,-84.0301
