FileName,ID_Num,avg_silence_duration.ms.,avg_syllable_duration.ms.,avg_sylls_freq_range.Hz.,avg_sylls_lower_freq.Hz.,avg_sylls_upper_freq.Hz.,bout_duration.ms.,largest_silence_duration.ms.,largest_syllable_duration.ms.,largest_sylls_freq_range.Hz.,max_sylls_freq.Hz.,mean_syllable_stereotypy,min_sylls_freq.Hz.,num_syllable_per_bout_duration.1.ms.,num_syllables,num_syllables_per_num_unique,num_unique_syllables,overall_sylls_freq_range.Hz.,sequential_repetition,smallest_silence_duration.ms.,smallest_syllable_duration.ms.,smallest_sylls_freq_range.Hz.,stdev_silence_duration.ms.,stdev_syllable_duration.ms.,stdev_syllable_stereotypy,stdev_sylls_freq_range.Hz.,syll_correlation_threshold,syllable_pattern,syllable_stereotypy,subspecies
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_Junco-hyemalis-1270-bout1.gzip,1270,3.199284815,3.95630767,7.950047974,8.075469185,8.704312393,7.268422244,33.01587302,63.49206349,3288.157895,6425.877193,4.161234237,3116.22807,-4.323983261,2.944438979,19,0,3331.140351,1,13.96825397,43.80952381,2385.526316,5.172529765,5.154004648,NA,342.9984503,53.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[64.15065089],hyemalis
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_seg 1 XC13878 - Dark-eyed Junco - Junco hyemalis caniceps.gzip,13878,3.307450277,3.709822628,7.722398541,8.155755461,8.648003414,7.383101753,30.15873016,42.53968254,2492.982456,5845.614035,4.314910901,3352.631579,-4.205047926,3.17805383,24,0,2535.964912,1,24.76190476,36.50793651,2192.105263,1.449986232,1.358746498,NA,82.12194279,53.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[74.80695793],caniceps
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_seg 1 XC13879 - Dark-eyed Junco - Junco hyemalis caniceps.gzip,13879,3.295248803,4.298472478,7.598091495,8.172377473,8.611258578,7.300869293,32.38095238,77.14285714,2192.105263,5587.719298,4.321179759,3438.596491,-4.592819076,2.708050201,15,0,2192.105263,1,22.22222222,70.79365079,1504.385965,2.299375806,1.847982135,NA,181.488663,53.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[75.27738513],caniceps
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_Junco-hyemalis-14453-bout-1.gzip,14453,2.647337392,4.315634545,7.979380201,8.111069972,8.733638924,7.251007203,21.9047619,82.53968254,3137.719298,6318.421053,4.087612799,3223.684211,-4.478418511,2.772588722,16,0,3137.719298,1,7.936507937,56.82539683,2364.035088,4.245408294,6.558680731,NA,262.3778827,53.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[59.59745064],oreganus
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_Junco-hyemalis-14453-bout-2.gzip,14453,2.967833468,4.241098338,7.950446778,8.133399448,8.732339941,7.246718741,26.98412698,80,3051.754386,6318.421053,4.214419538,3266.666667,-4.474129994,2.772588722,8,0.693147181,3094.736842,0.933333333,12.6984127,51.42857143,2364.035088,4.610544833,7.073858394,NA,209.3970689,53.5,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[67.6548834],oreganus
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_Junco-hyemalis-14482-bout1.gzip,14482,3.320922585,4.415008451,7.966230645,8.163233855,8.755975225,7.686934521,38.0952381,95.23809524,3309.649123,7092.105263,4.268466087,3266.666667,-4.691202261,2.995732274,6.666666667,1.098612289,3868.421053,0.789473684,19.68253968,64.76190476,2450,3.940401652,12.23224318,5.241873341,287.3131374,53.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 13, 12, 12, 12, 12, 13, 13]",[77.08997399 70.38901369 66.75704751],oreganus
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_Junco-hyemalis-14482-bout2.gzip,14482,3.253813876,4.427463813,8.018766022,8.157589988,8.777125351,7.730119001,34.6031746,96.19047619,3739.473684,7350,4.30187728,3266.666667,-4.685596601,3.044522438,10.5,0.693147181,4126.315789,0.95,21.58730159,67.61904762,2450,3.044057721,12.11773222,4.505080826,488.249927,53.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 12, 12, 12, 12, 12, 12, 12, 12]",[77.02385202 70.65270561],oreganus
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_Junco-hyemalis-14482-bout3.gzip,14482,3.092029283,4.46918681,8.039539321,8.15524119,8.785658912,7.679772318,28.88888889,104.1269841,3739.473684,7435.964912,4.30707971,3180.701754,-4.684040032,2.995732274,10,0.693147181,4298.245614,0.947368421,16.50793651,65.71428571,2535.964912,3.388244327,15.05616648,2.634385265,440.8308071,53.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 12, 12, 12, 12, 12, 12, 12]",[76.08620989 72.36062652],oreganus
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_15218_44k seg 1.gzip,15218,3.321693428,4.320879738,8.146758268,8.229117074,8.875945385,7.564534816,36.19047619,110.7936508,3868.421053,7607.894737,4.336458018,3352.631579,-4.620095821,2.944438979,9.5,0.693147181,4298.245614,0.944444444,24.44444444,60.31746032,2750.877193,3.322075258,15.37507279,3.726527217,306.304291,53.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 14, 14, 14, 14]",[79.0713759  73.80127057],hyemalis
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_15219_44k seg 1.gzip,15219,3.297859771,4.313033763,8.390654834,7.902338199,8.863094518,6.897865264,34.28571429,86.66666667,4685.087719,7350,4.115664064,2578.947368,-4.595280154,2.302585093,3.333333333,1.098612289,4814.035088,0.666666667,22.22222222,70.79365079,3739.473684,3.566231767,5.294813444,NA,279.4777927,53.5,"[0, 0, 0, 0, 4, 0, 0, 0, 0, 9]",[61.29290315],hyemalis
