Locus,Isolate,Subspecies_Friis,Latitude,Longitude,Index,Row Names
KX461644,02N7285,oreganus,64.200841,-149.493681,1,"gi|1109547807|gb|KX461644.1| Junco hyemalis isolate 02N7285 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461645,02N7286,oreganus,64.200841,-149.49368,2,"gi|1109547809|gb|KX461645.1| Junco hyemalis isolate 02N7286 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461646,02N7287,oreganus,64.200841,-149.493679,3,"gi|1109547811|gb|KX461646.1| Junco hyemalis isolate 02N7287 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461647,02N7288,oreganus,64.200841,-149.493678,4,"gi|1109547813|gb|KX461647.1| Junco hyemalis isolate 02N7288 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461648,02N7289,oreganus,64.200841,-149.493677,5,"gi|1109547815|gb|KX461648.1| Junco hyemalis isolate 02N7289 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461649,02N7290,oreganus,64.200841,-149.493676,6,"gi|1109547817|gb|KX461649.1| Junco hyemalis isolate 02N7290 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461650,02N7291,oreganus,64.200841,-149.493675,7,"gi|1109547819|gb|KX461650.1| Junco hyemalis isolate 02N7291 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461651,02N7294,oreganus,64.200841,-149.493674,8,"gi|1109547821|gb|KX461651.1| Junco hyemalis isolate 02N7294 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461652,02N7295,oreganus,64.200841,-149.493673,9,"gi|1109547823|gb|KX461652.1| Junco hyemalis isolate 02N7295 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461659,03N4309,oreganus,38.770146,-121.640625,10,"gi|1109547837|gb|KX461659.1| Junco hyemalis isolate 03N4309 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
