FileName,ID_Num,avg_silence_duration(ms),avg_syllable_duration(ms),avg_sylls_freq_range(Hz),avg_sylls_lower_freq(Hz),avg_sylls_upper_freq(Hz),bout_duration(ms),largest_silence_duration(ms),largest_syllable_duration(ms),largest_sylls_freq_range(Hz),max_sylls_freq(Hz),mean_syllable_stereotypy,min_sylls_freq(Hz),num_syllable_per_bout_duration(1/ms),num_syllables,num_syllables_per_num_unique,num_unique_syllables,overall_sylls_freq_range(Hz),sequential_repetition,smallest_silence_duration(ms),smallest_syllable_duration(ms),smallest_sylls_freq_range(Hz),stdev_silence_duration(ms),stdev_syllable_duration(ms),stdev_syllable_stereotypy,stdev_sylls_freq_range(Hz),syll_correlation_threshold,syllable_pattern,syllable_stereotypy,subspecies,latitude,longitude
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_Junco-hyemalis-1270-bout1.gzip,1270,24.51499118,52.26399332,2835.710988,3214.635272,6028.855032,1434.285714,33.01587302,63.49206349,3288.157895,6425.877193,64.15065089,3116.22807,0.013247012,19,19,1,3331.140351,1,13.96825397,43.80952381,2385.526316,5.172529765,5.154004648,,342.9984503,53.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[64.15065089],hyemalis,36.1065,-82.1106
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_seg 1 XC13878 - Dark-eyed Junco - Junco hyemalis caniceps.gzip,13878,27.31538992,40.84656085,2258.369883,3483.369883,5698.75731,1608.571429,30.15873016,42.53968254,2492.982456,5845.614035,74.80695793,3352.631579,0.014920071,24,24,1,2535.964912,1,24.76190476,36.50793651,2192.105263,1.449986232,1.358746498,,82.12194279,53.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[74.80695793],caniceps,40.66664,-106.33392
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_seg 1 XC13879 - Dark-eyed Junco - Junco hyemalis caniceps.gzip,13879,26.98412698,73.58730159,1994.385965,3541.754386,5493.157895,1481.587302,32.38095238,77.14285714,2192.105263,5587.719298,75.27738513,3438.596491,0.010124277,15,15,1,2192.105263,1,22.22222222,70.79365079,1504.385965,2.299375806,1.847982135,,181.488663,53.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[75.27738513],caniceps,40.66664,-106.33392
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_Junco-hyemalis-14453-bout-1.gzip,14453,14.11640212,74.86111111,2920.120614,3331.140351,6208.278509,1409.52381,21.9047619,82.53968254,3137.719298,6318.421053,59.59745064,3223.684211,0.011351351,16,16,1,3137.719298,1,7.936507937,56.82539683,2364.035088,4.245408294,6.558680731,,262.3778827,53.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[59.59745064],oreganus,49.0409,-114.0323
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_Junco-hyemalis-14453-bout-2.gzip,14453,19.44973545,69.48412698,2836.842105,3406.359649,6200.219298,1403.492063,26.98412698,80,3051.754386,6318.421053,67.6548834,3266.666667,0.011400136,16,8,2,3094.736842,0.933333333,12.6984127,51.42857143,2364.035088,4.610544833,7.073858394,,209.3970689,53.5,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[67.6548834],oreganus,49.0409,-114.0323
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_Junco-hyemalis-14482-bout1.gzip,14482,27.68588137,82.68253968,2881.973684,3509.517544,6348.508772,2179.68254,38.0952381,95.23809524,3309.649123,7092.105263,71.41201173,3266.666667,0.009175648,20,6.666666667,3,3868.421053,0.789473684,19.68253968,64.76190476,2450,3.940401652,12.23224318,5.241873341,287.3131374,53.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 13, 12, 12, 12, 12, 13, 13]",[77.08997399 70.38901369 66.75704751],oreganus,37.8328,-119.4909
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_Junco-hyemalis-14482-bout2.gzip,14482,25.88888889,83.71882086,3037.426901,3489.766082,6484.210526,2275.873016,34.6031746,96.19047619,3739.473684,7350,73.83827882,3266.666667,0.009227228,21,10.5,2,4126.315789,0.95,21.58730159,67.61904762,2450,3.044057721,12.11773222,4.505080826,488.249927,53.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 12, 12, 12, 12, 12, 12, 12, 12]",[77.02385202 70.65270561],oreganus,37.8328,-119.4909
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_Junco-hyemalis-14482-bout3.gzip,14482,22.02172097,87.28571429,3101.184211,3481.578947,6539.780702,2164.126984,28.88888889,104.1269841,3739.473684,7435.964912,74.22341821,3180.701754,0.009241602,20,10,2,4298.245614,0.947368421,16.50793651,65.71428571,2535.964912,3.388244327,15.05616648,2.634385265,440.8308071,53.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 12, 12, 12, 12, 12, 12, 12]",[76.08620989 72.36062652],oreganus,37.8328,-119.4909
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_15218_44k seg 1.gzip,15218,27.70723104,75.25480368,3452.169898,3748.522622,7157.710065,1928.571429,36.19047619,110.7936508,3868.421053,7607.894737,76.43632324,3352.631579,0.009851852,19,9.5,2,4298.245614,0.944444444,24.44444444,60.31746032,2750.877193,3.322075258,15.37507279,3.726527217,306.304291,53.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 14, 14, 14, 14]",[79.0713759  73.80127057],hyemalis,44.543816,-72.814258
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_15219_44k seg 1.gzip,15219,27.05467372,74.66666667,4405.701754,2703.596491,7066.315789,990.1587302,34.28571429,86.66666667,4685.087719,7350,61.29290315,2578.947368,0.010099391,10,3.333333333,3,4814.035088,0.666666667,22.22222222,70.79365079,3739.473684,3.566231767,5.294813444,,279.4777927,53.5,"[0, 0, 0, 0, 4, 0, 0, 0, 0, 9]",[61.29290315],hyemalis,42.480179,-76.451104
