Recording ID,Database,Subspecies_Friis,Latitude,Longitude,Date,Month,Year,Time
1270,XC,hyemalis,NA,NA,6/6/99,6,1999,0
13878,XC,caniceps,40.66664,-106.33392,6/25/07,6,2007,1000
13879,XC,caniceps,40.66664,-106.33392,6/25/07,6,2007,1045
14232,XC,mearnsi,43.8187,-110.1925,6/11/07,6,2007,1059
14453,XC,oreganus,49.0409,-114.0323,6/14/07,6,2007,1241
14482,XC,oreganus,37.8328,-119.4909,6/28/07,6,2007,1509
15218,ML,hyemalis,44.543816,-72.814258,6/29/53,6,1953,0
15219,ML,hyemalis,42.480179,-76.451104,4/17/52,4,1952,0
15220,ML,hyemalis,43.973126,-73.832108,6/19/51,6,1951,0
15221,ML,hyemalis,44.274408,-73.976512,6/3/62,6,1962,600
15222,ML,hyemalis,44.543816,-72.814258,6/4/62,6,1962,700
15223,ML,hyemalis,44.779883,-68.368404,6/12/62,6,1962,750
15224,ML,hyemalis,46.380172,-83.359241,6/23/63,6,1963,1125
15225,ML,hyemalis,48.315077,-79.879293,6/25/63,6,1963,555
15227,ML,hyemalis,51.278821,-80.649262,6/28/63,6,1963,615
15228,ML,hyemalis,47.981821,-77.420178,6/30/63,6,1963,620
15229,ML,hyemalis,35.612096,-83.489556,5/11/63,5,1963,0
15231,ML,hyemalis,35.612096,-83.489556,5/11/63,5,1963,845
15232,ML,hyemalis,64.8666667,-147.8666667,5/23/67,5,1967,0
15233,ML,hyemalis,60.5833333,-137.2333333,5/12/68,5,1968,0
15234,ML,hyemalis,60.5833333,-137.2333333,5/12/68,5,1968,0
15235,ML,hyemalis,61.8333333,-145.1666667,5/9/69,5,1969,0
15237,ML,aikeni,44.328151,-103.98815,6/11/61,6,1961,500
15238,ML,aikeni,44.328151,-103.98815,6/11/61,6,1961,600
15239,ML,aikeni,44.328151,-103.98815,6/11/61,6,1961,715
15240,ML,dorsalis,33.13228,-106.029927,7/30/58,7,1958,0
15242,ML,oreganus,47.860871,-123.934803,7/11/58,7,1958,0
